Time,NC_File,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Tool_Code,Tool_Life,Radius_Comp,Radius_Wear,Length_Comp,Length_Wear,Tool_Group,Tool_Group_Info,Spindle_Number,Status
2025-10-16 11:28:05.650,0,100%,0%,-3.710,6.069,0.043,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:05.749,0,100%,0%,-3.710,6.069,0.003,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:05.850,0,100%,0%,-3.710,6.069,0.003,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:05.954,0,100%,0%,-3.710,6.069,0.003,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.058,0,100%,0%,-3.710,6.069,1.058,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.154,0,100%,0%,-3.710,6.069,2.073,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.258,0,100%,10%,-3.710,6.069,3.483,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.354,0,100%,10%,-3.710,6.069,7.323,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.458,0,100%,10%,-3.710,6.069,11.503,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.554,0,100%,10%,-3.710,6.069,11.503,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.650,0,100%,10%,-3.710,6.069,11.503,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.754,0,100%,10%,-3.710,6.069,11.503,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.850,0,100%,10%,-3.710,6.069,11.503,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:06.958,0,100%,10%,-3.710,6.069,8.683,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 11:28:07.050,0,100%,10%,-3.710,6.069,4.843,30.995,-23.032,0.000,2,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
