Time,NC_File,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Tool_Code,Tool_Life,Radius_Comp,Radius_Wear,Length_Comp,Length_Wear,Tool_Group,Tool_Group_Info,Spindle_Number,Status
2025-10-16 14:30:21.340,0,100%,0%,-0.220,0.220,0.003,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:21.442,0,100%,0%,-0.220,0.220,0.003,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:21.542,0,100%,0%,-0.220,0.220,0.843,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:21.642,0,100%,0%,-0.220,0.220,1.898,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:21.744,0,100%,10%,-0.220,0.220,2.363,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:21.842,0,100%,10%,-0.220,0.220,6.203,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:21.942,0,100%,10%,-0.220,0.220,10.763,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.043,0,100%,10%,-0.220,0.220,11.503,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.146,0,100%,10%,-0.220,0.220,11.503,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.242,0,100%,10%,-0.220,0.220,11.503,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.342,0,100%,10%,-0.220,0.220,11.503,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.450,0,100%,10%,-0.220,0.220,9.803,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.546,0,100%,10%,-0.220,0.220,5.963,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.650,0,100%,10%,-0.220,0.220,2.433,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.810,0,100%,10%,-0.220,0.220,1.683,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:22.974,0,100%,10%,-0.220,0.220,0.003,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.046,0,100%,0%,-0.220,0.220,0.003,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.143,0,100%,0%,0.000,0.000,0.003,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.248,0,100%,0%,0.000,0.000,15.382,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.354,0,100%,0%,0.000,0.000,10.262,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.450,0,100%,0%,0.000,0.000,6.422,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.546,0,100%,0%,0.000,0.000,3.770,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.642,0,100%,0%,0.000,0.000,3.770,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
2025-10-16 14:30:23.742,0,100%,0%,0.000,0.000,3.770,30.995,-23.032,0.000,3,0,0.000,-0.150,-1.000,-1.000,-1,-1,0,Start
