"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 2","0.315","0.8","2025-10-16 15:47:30.338","100%","120%","-2.41","0.0","6.4","30.995","-23.032","0.0","Start","1760629650.338","","0.0055","0.0055","0.4","0.1","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:30.447","100%","120%","-2.4","1.14","6.4","30.995","-23.032","0.0","Start","1760629650.447","","-0.0385","-0.0275","2.3","-0.6","0.0495"
"Section 2","0.315","0.8","2025-10-16 15:47:30.546","100%","120%","-2.4","2.3000000000000003","6.4","30.995","-23.032","0.0","Start","1760629650.546","","-0.0275","0.044","-0.3","-1.9","0.055"
"Section 2","0.315","0.8","2025-10-16 15:47:31.542","100%","120%","2.4","1.7999999999999998","6.4","30.995","-23.032","0.0","Start","1760629651.542","","-0.011","-0.022","1.1","0.2","0.0275"
"Section 2","0.315","0.8","2025-10-16 15:47:31.642","100%","120%","2.4","0.64","6.4","30.995","-23.032","0.0","Start","1760629651.642","","-0.0","-0.0055","-0.0","-0.4","0.011"
"Section 2","0.315","0.8","2025-10-16 15:47:31.738","100%","120%","2.4","-0.51","6.4","30.995","-23.032","0.0","Start","1760629651.738","","-0.033","0.044","-0.3","-1.9","0.055"
"Section 2","0.315","0.8","2025-10-16 15:47:31.834","100%","120%","2.43","-1.66","6.4","30.995","-23.032","0.0","Start","1760629651.834","","-0.0165","0.066","-0.9","-2.2","0.0715"
"Section 2","0.315","0.8","2025-10-16 15:47:32.938","100%","120%","-2.4","-1.5","6.4","30.995","-23.032","0.0","Start","1760629652.938","","0.0055","0.033","-0.7","-0.3","0.044"
"Section 2","0.315","0.8","2025-10-16 15:47:33.034","100%","120%","-2.4","-0.35","6.4","30.995","-23.032","0.0","Start","1760629653.034","","0.0","0.0","0.1","0.2","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:33.145","100%","120%","-1.83","0.0","6.4","30.995","-23.032","0.0","Start","1760629653.145","","0.0055","0.011","0.1","0.2","0.011"
"Section 2","0.315","0.8","2025-10-16 15:47:33.234","100%","120%","-0.68","0.0","6.4","30.995","-23.032","0.0","Start","1760629653.234","","-0.0","-0.0055","-0.0","0.0","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:33.346","100%","120%","0.0","0.03","6.4","30.995","-23.032","0.0","Start","1760629653.346","","0.011","0.0055","-0.1","0.2","0.011"
"Section 2","0.315","0.8","2025-10-16 15:47:33.434","100%","120%","0.0","1.01","6.4","30.995","-23.032","0.0","Start","1760629653.434","","-0.0055","-0.022","1.3","0.2","0.033"
"Section 2","0.315","0.8","2025-10-16 15:47:33.546","100%","120%","0.0","2.16","6.4","30.995","-23.032","0.0","Start","1760629653.546","","0.0055","0.011","-0.1","-0.0","0.022"
"Section 2","0.315","0.8","2025-10-16 15:47:33.642","100%","120%","0.0","2.35","6.4","30.995","-23.032","0.0","Start","1760629653.642","","0.011","0.0165","0.1","0.2","0.0165"
"Section 2","0.315","0.8","2025-10-16 15:47:33.738","100%","120%","0.0","1.24","6.4","30.995","-23.032","0.0","Start","1760629653.738","","-0.0","-0.0","-0.1","-0.2","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:33.842","100%","120%","0.0","-0.3","6.4","30.995","-23.032","0.0","Start","1760629653.842","","-0.0055","-0.011","0.2","0.2","0.0165"
"Section 2","0.315","0.8","2025-10-16 15:47:33.938","100%","120%","0.02","-1.45","6.4","30.995","-23.032","0.0","Start","1760629653.938","","-0.0","-0.0055","-0.1","0.1","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:34.034","100%","120%","0.07","-2.46","6.4","30.995","-23.032","0.0","Start","1760629654.034","","-0.011","-0.0165","-0.1","-0.2","0.0165"
"Section 2","0.315","0.8","2025-10-16 15:47:34.146","100%","120%","0.0","-2.33","6.4","30.995","-23.032","0.0","Start","1760629654.146","","0.0055","0.0055","0.0","-0.0","0.011"
"Section 2","0.315","0.8","2025-10-16 15:47:34.234","100%","120%","0.0","-1.21","6.4","30.995","-23.032","0.0","Start","1760629654.234","","0.0055","0.0055","0.1","-0.0","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:34.338","100%","120%","0.0","-0.06","6.4","30.995","-23.032","0.0","Start","1760629654.338","","0.0055","0.0","-0.0","-0.0","0.011"
"Section 2","0.315","0.8","2025-10-16 15:47:34.446","100%","120%","-0.48","1.37","6.4","30.995","-23.032","0.0","Start","1760629654.446","","0.0055","0.0055","-0.1","0.0","0.011"
"Section 2","0.315","0.8","2025-10-16 15:47:34.542","100%","120%","-1.05","1.87","6.4","30.995","-23.032","0.0","Start","1760629654.542","","0.0","0.0055","-0.1","-0.0","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:34.634","100%","120%","-2.08","2.19","6.4","30.995","-23.032","0.0","Start","1760629654.634","","-0.0","-0.0055","-0.1","-0.1","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:34.738","100%","120%","-2.2","2.2","7.359999999999999","30.995","-23.032","0.0","Start","1760629654.738","","-0.0","-0.0","-0.1","0.0","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:35.634","100%","120%","-2.2","2.2","0.03","30.995","-23.032","0.0","Start","1760629655.634","","0.0","0.0","0.1","-0.0","0.0"
"Section 2","0.315","0.8","2025-10-16 15:47:35.730","100%","120%","-2.2","2.2","0.03","30.995","-23.032","0.0","Start","1760629655.73","","-0.0","0.0","0.1","-0.1","0.0"
"Section 2","0.315","0.8","2025-10-16 15:47:35.832","100%","120%","-2.2","2.2","0.03","30.995","-23.032","0.0","Start","1760629655.832","","0.0055","0.0","0.0","0.0","0.0055"
"Section 2","0.315","0.8","2025-10-16 15:47:35.930","100%","120%","-2.2","2.2","0.03","30.995","-23.032","0.0","Pause","1760629655.93","","0.0","0.0","-0.1","-0.0","0.0"
