"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 2","0.495","0.8","2025-10-16 13:28:00.251","100%","110%","-2.42","0.0","6.4","30.995","-23.032","0.0","Start","1760621280.251","","0.022","-0.044","1.1","1.9","0.055"
"Section 2","0.495","0.8","2025-10-16 13:28:00.344","100%","110%","-2.4","0.33","6.4","30.995","-23.032","0.0","Start","1760621280.344","","0.011","0.0055","-0.9","0.0","0.0165"
"Section 2","0.495","0.8","2025-10-16 13:28:00.447","100%","110%","-2.4","1.7399999999999998","6.4","30.995","-23.032","0.0","Start","1760621280.447","","-0.0275","-0.011","1.3","-0.5","0.033"
"Section 2","0.495","0.8","2025-10-16 13:28:01.551","100%","110%","2.4","2.15","6.4","30.995","-23.032","0.0","Start","1760621281.551","","0.044","-0.0495","0.1","2.4","0.066"
"Section 2","0.495","0.8","2025-10-16 13:28:01.655","100%","110%","2.4","1.09","6.4","30.995","-23.032","0.0","Start","1760621281.655","","0.066","-0.0","-2.4","1.4","0.0715"
"Section 2","0.495","0.8","2025-10-16 13:28:01.744","100%","110%","2.4","0.04","6.4","30.995","-23.032","0.0","Start","1760621281.744","","0.0055","-0.0165","0.5","0.9","0.0385"
"Section 2","0.495","0.8","2025-10-16 13:28:01.851","100%","110%","2.42","-1.37","6.4","30.995","-23.032","0.0","Start","1760621281.851","","-0.0055","0.0","0.2","-0.1","0.0055"
"Section 2","0.495","0.8","2025-10-16 13:28:01.955","100%","110%","2.47","-2.43","6.4","30.995","-23.032","0.0","Start","1760621281.955","","-0.0385","0.066","-0.6","-2.9","0.0825"
"Section 2","0.495","0.8","2025-10-16 13:28:03.047","100%","110%","-2.4","-1.7100000000000002","6.4","30.995","-23.032","0.0","Start","1760621283.047","","-0.0055","0.0055","0.0","-0.1","0.0055"
"Section 2","0.495","0.8","2025-10-16 13:28:03.143","100%","110%","-2.4","-0.66","6.4","30.995","-23.032","0.0","Start","1760621283.143","","-0.0055","-0.0","0.0","-0.2","0.011"
"Section 2","0.495","0.8","2025-10-16 13:28:03.247","100%","110%","-2.37","0.0","6.4","30.995","-23.032","0.0","Start","1760621283.247","","-0.0275","0.011","0.1","-0.9","0.0275"
