Time,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Status,TimeInSeconds,NC_Line,CH1,CH2,BendingX,BendingY,Torque
2025-10-16 13:12:16.912,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620336.912,,-0.0,-0.0055,-0.0,-0.0,0.0055
2025-10-16 13:12:17.040,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.04,,0.0055,0.0055,-0.1,0.1,0.0055
2025-10-16 13:12:17.120,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.12,,-0.0055,0.0,-0.0,-0.1,0.0055
2025-10-16 13:12:17.200,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.2,,0.0055,0.0,0.1,0.0,0.0055
2025-10-16 13:12:17.281,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.281,,0.0,0.0,-0.0,-0.1,0.0
2025-10-16 13:12:17.356,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.356,,-0.0,-0.0055,-0.1,0.0,0.0055
2025-10-16 13:12:17.444,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.444,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 13:12:17.548,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.548,,-0.0,-0.0,0.0,0.0,0.0
2025-10-16 13:12:17.648,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.648,,-0.0,-0.0,-0.1,-0.1,0.0
2025-10-16 13:12:17.744,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.744,,-0.0,0.0055,-0.1,0.0,0.0055
2025-10-16 13:12:17.840,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.84,,0.0,0.0,0.0,0.0,0.0
2025-10-16 13:12:17.952,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620337.952,,0.0055,0.0,-0.0,0.1,0.0055
2025-10-16 13:12:18.040,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.04,,-0.0055,0.0055,-0.0,0.0,0.0055
2025-10-16 13:12:18.144,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.144,,0.0055,0.0055,-0.0,-0.0,0.011
2025-10-16 13:12:18.252,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.252,,0.0,0.0055,0.0,0.1,0.0055
2025-10-16 13:12:18.343,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.343,,0.0,0.0,-0.1,-0.0,0.0
2025-10-16 13:12:18.440,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.44,,0.0055,-0.0055,-0.1,-0.1,0.011
2025-10-16 13:12:18.544,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.544,,-0.0055,-0.0,0.1,0.0,0.0055
2025-10-16 13:12:18.640,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.64,,-0.0055,0.0,-0.0,-0.1,0.0055
2025-10-16 13:12:18.745,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.745,,-0.0,0.0,0.0,-0.1,0.0
2025-10-16 13:12:18.848,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.848,,-0.0055,-0.0055,-0.0,-0.1,0.0055
2025-10-16 13:12:18.944,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620338.944,,0.0055,0.0055,0.0,-0.0,0.0055
2025-10-16 13:12:19.040,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.04,,0.0,0.0,-0.0,0.0,0.0
2025-10-16 13:12:19.149,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.149,,0.0055,-0.0,-0.0,-0.1,0.0055
2025-10-16 13:12:19.248,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.248,,0.0,-0.0,-0.0,-0.0,0.0055
2025-10-16 13:12:19.344,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.344,,0.0,-0.0,0.1,-0.0,0.0055
2025-10-16 13:12:19.456,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.456,,-0.0055,-0.0,0.0,-0.0,0.0055
2025-10-16 13:12:19.544,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.544,,-0.0,0.0,0.0,0.1,0.0
2025-10-16 13:12:19.640,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.64,,0.0,-0.0,0.1,-0.0,0.0
2025-10-16 13:12:19.744,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.744,,-0.0055,-0.0,0.1,-0.0,0.0055
2025-10-16 13:12:19.853,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.853,,-0.0,0.0,0.0,0.0,0.0
2025-10-16 13:12:19.944,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620339.944,,-0.0,-0.0055,-0.0,-0.0,0.0055
2025-10-16 13:12:20.044,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760620340.044,,0.0055,0.0,-0.1,0.0,0.0055
