Time,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Status,TimeInSeconds,NC_Line,Time_pdata,Spindle_Override_pdata,Feed_Override_pdata,Offset_X_pdata,Offset_Y_pdata,Offset_Z_pdata,G54_X_pdata,G54_Y_pdata,G54_Z_pdata,Status_pdata,NC_Line_pdata,CH1,CH2,BendingX,BendingY,Torque,Torque_UCL_3,Torque_UCL_5,BendingX_UCL_3,BendingX_UCL_5,Flute_UCL_3,Flute_UCL_5
2025-10-16 15:10:17.176,100%,0%,-0.220000,0.220000,0.003000,30.995000,-23.032000,0.000000,Start,1760627417.176000,,2025-10-16 15:10:17.176,100%,0%,-2.200000,2.200000,0.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,6.050000,6.050000,-2000.000000,-2000.000000,7.287693,12.148262
2025-10-16 15:10:17.280,100%,0%,-0.220000,0.220000,0.003000,30.995000,-23.032000,0.000000,Start,1760627417.280000,,2025-10-16 15:10:17.280,100%,0%,-2.200000,2.200000,0.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,6.050000,6.050000,-2000.000000,-2000.000000,7.287693,12.148262
2025-10-16 15:10:17.376,100%,0%,-0.220000,0.220000,1.003000,30.995000,-23.032000,0.000000,Start,1760627417.376000,,2025-10-16 15:10:17.376,100%,0%,-2.200000,2.200000,10.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,6.050000,6.050000,-2000.000000,-2000.000000,7.287693,12.148262
2025-10-16 15:10:17.479,100%,0%,-0.220000,0.220000,1.998000,30.995000,-23.032000,0.000000,Start,1760627417.479000,,2025-10-16 15:10:17.479,100%,0%,-2.200000,2.200000,19.980000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,6.050000,6.050000,-2000.000000,-2000.000000,7.287693,12.148262
2025-10-16 15:10:17.576,100%,10%,-0.220000,0.220000,2.843000,30.995000,-23.032000,0.000000,Start,1760627417.576000,,2025-10-16 15:10:17.576,100%,10%,-2.200000,2.200000,28.430000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,7.497526,8.520163,-1464.336019,-1126.274317,7.287693,12.148262
2025-10-16 15:10:17.680,100%,10%,-0.220000,0.220000,6.683000,30.995000,-23.032000,0.000000,Start,1760627417.680000,,2025-10-16 15:10:17.680,100%,10%,-2.200000,2.200000,66.830000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,7.990164,9.395644,-321.361263,723.657154,7.287693,12.148262
2025-10-16 15:10:17.784,100%,10%,-0.220000,0.220000,11.243000,30.995000,-23.032000,0.000000,Start,1760627417.784000,,2025-10-16 15:10:17.784,100%,10%,-2.200000,2.200000,112.430000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,8.316007,9.990191,291.311669,1692.726655,7.287693,12.148262
2025-10-16 15:10:17.880,100%,10%,-0.220000,0.220000,11.503000,30.995000,-23.032000,0.000000,Start,1760627417.880000,,2025-10-16 15:10:17.880,100%,10%,-2.200000,2.200000,115.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,8.554011,10.435632,489.862837,1991.876658,7.287693,12.148262
2025-10-16 15:10:17.976,100%,10%,-0.220000,0.220000,11.503000,30.995000,-23.032000,0.000000,Start,1760627417.976000,,2025-10-16 15:10:17.976,100%,10%,-2.200000,2.200000,115.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,8.735777,10.784842,661.109715,2247.148671,7.287693,12.148262
2025-10-16 15:10:18.078,100%,10%,-0.220000,0.220000,11.503000,30.995000,-23.032000,0.000000,Start,1760627418.078000,,2025-10-16 15:10:18.078,100%,10%,-2.200000,2.200000,115.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,8.877954,11.065757,810.728496,2467.880826,7.287693,12.148262
2025-10-16 15:10:18.176,100%,10%,-0.220000,0.220000,11.503000,30.995000,-23.032000,0.000000,Start,1760627418.176000,,2025-10-16 15:10:18.176,100%,10%,-2.200000,2.200000,115.030000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,8.990647,11.295386,816.213956,2466.047651,7.287693,12.148262
2025-10-16 15:10:18.280,100%,10%,-0.220000,0.220000,9.163000,30.995000,-23.032000,0.000000,Start,1760627418.280000,,2025-10-16 15:10:18.280,100%,10%,-2.200000,2.200000,91.630000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,9.080547,11.485038,943.072583,2651.152718,7.287693,12.148262
2025-10-16 15:10:18.376,100%,10%,-0.220000,0.220000,5.323000,30.995000,-23.032000,0.000000,Start,1760627418.376000,,2025-10-16 15:10:18.376,100%,10%,-2.200000,2.200000,53.230000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,9.152358,11.642690,1056.181310,2814.565749,7.287693,12.148262
2025-10-16 15:10:18.536,100%,10%,-0.220000,0.220000,2.313000,30.995000,-23.032000,0.000000,Start,1760627418.536000,,2025-10-16 15:10:18.536,100%,10%,-2.200000,2.200000,23.130000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,9.209530,11.774216,1157.609255,2959.651789,7.287693,12.148262
2025-10-16 15:10:18.656,100%,10%,-0.220000,0.220000,1.483000,30.995000,-23.032000,0.000000,Start,1760627418.656000,,2025-10-16 15:10:18.656,100%,10%,-2.200000,2.200000,14.830000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,-2000.000000,-0.000000,6.050000,9.254673,11.884085,1248.994289,3089.064555,7.287693,12.148262
