Time,NC_File,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Tool_Code,Tool_Life,Radius_Comp,Radius_Wear,Length_Comp,Length_Wear,Tool_Group,Tool_Group_Info,Spindle_Number,Status
2025-10-16 16:34:18.546,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:18.665,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:18.741,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:18.825,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:18.905,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:18.985,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.073,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.169,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.273,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.369,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.473,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.569,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.673,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.769,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.873,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:19.977,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.076,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.169,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.273,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.369,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.471,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.569,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.669,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.777,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.873,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:20.969,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.073,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.169,0,100%,0%,0.0,0.0,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.281,0,100%,10%,-0.072,-0.055,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.377,0,100%,20%,-0.217,-0.168,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.481,0,100%,40%,-0.457,-0.352,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.569,0,100%,60%,-0.88,-0.678,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.682,0,100%,80%,-1.518,-1.169,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.777,0,100%,90%,-2.318,-1.785,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.873,0,100%,100%,-3.215,-2.477,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:21.981,0,100%,100%,-4.484,-3.454,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.073,0,100%,100%,-5.101,-3.929,3.77,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.171,0,100%,110%,-5.129,-3.951,3.702,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.273,0,100%,110%,-5.129,-3.951,2.925,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.377,0,100%,110%,-5.129,-3.951,1.582,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.473,0,100%,110%,-5.129,-3.951,0.867,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.577,0,100%,110%,-5.129,-3.951,0.75,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.673,0,100%,110%,-5.063,-3.989,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.781,0,100%,110%,-4.854,-3.99,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.882,0,100%,110%,-4.777,-3.964,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:22.969,0,100%,110%,-4.612,-3.92,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.081,0,100%,110%,-4.446,-3.953,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.177,0,100%,110%,-4.364,-3.99,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.281,0,100%,110%,-4.2,-3.99,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.379,0,100%,110%,-4.024,-3.99,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.473,0,100%,110%,-3.856,-3.99,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.577,0,100%,110%,-3.731,-3.916,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.673,0,100%,110%,-3.71,-3.801,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.777,0,100%,110%,-3.71,-3.625,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.881,0,100%,110%,-3.71,-3.449,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:23.977,0,100%,110%,-3.71,-3.273,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:24.081,0,100%,110%,-3.71,-3.097,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:24.186,0,100%,110%,-3.71,-2.863,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:24.285,0,100%,110%,-3.71,-2.687,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:24.377,0,100%,110%,-3.71,-2.511,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:24.478,0,100%,110%,-3.71,-2.336,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
2025-10-16 16:34:24.585,0,100%,110%,-3.688,-2.222,0.749,30.995,-23.032,0.0,3,0,0.0,-0.15,-1.0,-1.0,-1,-1,0,Start
