"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 1","0.196","0.8","2025-10-16 14:01:58.948","100%","110%","30.37","-2.07","6.38","30.995","-23.032","0.0","Start","1760623318.948","","0.0","0.0","0.1","0.0","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:02:07.653","100%","110%","29.93","-1.6900000000000002","6.35","30.995","-23.032","0.0","Start","1760623327.653","","0.0","0.011","0.0","-0.1","0.011"
"Section 1","0.196","0.8","2025-10-16 14:02:16.457","100%","110%","30.58","-2.43","6.32","30.995","-23.032","0.0","Start","1760623336.457","","0.0","-0.0055","0.0","0.1","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:02:25.149","100%","110%","29.96","-1.7100000000000002","6.29","30.995","-23.032","0.0","Start","1760623345.149","","-0.0055","0.0","-0.2","-0.1","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:02:33.845","100%","110%","29.58","-1.55","6.26","30.995","-23.032","0.0","Start","1760623353.845","","0.0055","0.0","0.0","0.0","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:02:33.941","100%","110%","30.48","-2.23","6.26","30.995","-23.032","0.0","Start","1760623353.941","","0.0","0.0","0.0","-0.1","0.0"
"Section 1","0.196","0.8","2025-10-16 14:02:42.655","100%","110%","30.12","-1.82","6.23","30.995","-23.032","0.0","Start","1760623362.655","","0.0","0.0","0.0","0.0","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:02:51.341","100%","110%","29.65","-1.57","6.2","30.995","-23.032","0.0","Start","1760623371.341","","0.0","0.0","-0.1","0.1","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:02:51.437","100%","110%","30.52","-2.29","6.2","30.995","-23.032","0.0","Start","1760623371.437","","0.0","0.0055","0.0","-0.1","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:03:00.149","100%","110%","30.15","-1.84","6.17","30.995","-23.032","0.0","Start","1760623380.149","","0.0","0.0","0.0","-0.1","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:03:08.941","100%","110%","30.54","-2.3200000000000003","6.14","30.995","-23.032","0.0","Start","1760623388.941","","0.0055","-0.0055","0.0","0.0","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:03:17.652","100%","110%","30.17","-1.86","6.109999999999999","30.995","-23.032","0.0","Start","1760623397.652","","0.0055","0.0","0.0","0.0","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:03:26.451","100%","110%","30.55","-2.35","6.08","30.995","-23.032","0.0","Start","1760623406.451","","-0.0055","-0.011","0.0","0.0","0.011"
"Section 1","0.196","0.8","2025-10-16 14:03:35.148","100%","110%","30.2","-1.88","6.05","30.995","-23.032","0.0","Start","1760623415.148","","0.0","0.0","-0.1","-0.1","0.0"
"Section 1","0.196","0.8","2025-10-16 14:03:43.955","100%","110%","30.57","-2.39","6.02","30.995","-23.032","0.0","Start","1760623423.955","","0.0","-0.0055","0.0","0.1","0.0055"
"Section 1","0.196","0.8","2025-10-16 14:03:52.649","100%","110%","29.92","-1.6900000000000002","5.99","30.995","-23.032","0.0","Start","1760623432.649","","0.0055","0.0","0.1","0.0","0.0055"
