Time,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Status,TimeInSeconds,NC_Line,CH1,CH2,BendingX,BendingY,Torque
2025-10-16 13:50:06.293,100%,110%,-27.759999999999998,-21.38,37.7,30.995,-23.032,0.0,Start,1760622606.293,,0.0,0.0,0.0,0.0,0.0
2025-10-16 13:50:06.451,100%,110%,-46.120000000000005,-35.53,37.7,30.995,-23.032,0.0,Start,1760622606.451,,-0.0055,-0.0055,0.0,0.0,0.011
2025-10-16 13:50:06.531,100%,110%,-51.18000000000001,-39.43,37.7,30.995,-23.032,0.0,Start,1760622606.531,,-0.0055,-0.0055,0.0,0.0,0.0055
2025-10-16 13:50:06.611,100%,110%,-51.28999999999999,-39.51,37.47,30.995,-23.032,0.0,Start,1760622606.611,,-0.0055,0.0055,-0.1,-0.1,0.0055
2025-10-16 13:50:06.691,100%,110%,-51.28999999999999,-39.51,31.46,30.995,-23.032,0.0,Start,1760622606.691,,-0.0055,0.0,0.0,0.0,0.0055
2025-10-16 13:50:06.771,100%,110%,-51.28999999999999,-39.51,22.82,30.995,-23.032,0.0,Start,1760622606.771,,0.0,0.0,0.0,0.0,0.0
2025-10-16 13:50:06.853,100%,110%,-51.28999999999999,-39.51,11.299999999999999,30.995,-23.032,0.0,Start,1760622606.853,,0.0,0.0,0.1,-0.1,0.0055
2025-10-16 13:50:06.943,100%,110%,-51.28999999999999,-39.51,7.9,30.995,-23.032,0.0,Start,1760622606.943,,0.0,-0.0055,0.0,-0.1,0.0055
2025-10-16 13:50:07.051,100%,110%,-51.150000000000006,-39.660000000000004,7.49,30.995,-23.032,0.0,Start,1760622607.051,,-0.0055,0.0055,-0.1,0.0,0.0055
2025-10-16 13:50:07.139,100%,110%,-49.989999999999995,-39.900000000000006,7.49,30.995,-23.032,0.0,Start,1760622607.139,,-0.0055,0.0,0.0,0.0,0.0055
2025-10-16 13:50:07.247,100%,110%,-48.36,-39.900000000000006,7.49,30.995,-23.032,0.0,Start,1760622607.247,,0.0,0.0,0.0,0.1,0.0
2025-10-16 13:50:07.351,100%,110%,-47.0,-39.34,7.49,30.995,-23.032,0.0,Start,1760622607.351,,-0.0055,0.0,-0.1,0.0,0.0055
2025-10-16 13:50:07.451,100%,110%,-45.32,-39.27,7.49,30.995,-23.032,0.0,Start,1760622607.451,,-0.0055,0.0,-0.1,0.0,0.0055
2025-10-16 13:50:07.547,100%,110%,-43.89,-39.85,7.49,30.995,-23.032,0.0,Start,1760622607.547,,-0.0055,0.0,0.0,0.0,0.0055
2025-10-16 13:50:07.643,100%,110%,-42.92,-39.900000000000006,7.49,30.995,-23.032,0.0,Start,1760622607.643,,-0.0055,0.0,0.1,-0.1,0.0055
2025-10-16 13:50:07.747,100%,110%,-41.16,-39.900000000000006,7.49,30.995,-23.032,0.0,Start,1760622607.747,,0.0055,0.0055,0.0,0.0,0.0055
2025-10-16 13:50:07.843,100%,110%,-39.4,-39.900000000000006,7.49,30.995,-23.032,0.0,Start,1760622607.843,,0.0,0.0,0.1,0.0,0.0055
2025-10-16 13:50:07.939,100%,110%,-38.07,-39.8,7.49,30.995,-23.032,0.0,Start,1760622607.939,,0.0,-0.0055,0.1,0.0,0.0055
