Time,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Status,TimeInSeconds,NC_Line,Time_pdata,Spindle_Override_pdata,Feed_Override_pdata,Offset_X_pdata,Offset_Y_pdata,Offset_Z_pdata,G54_X_pdata,G54_Y_pdata,G54_Z_pdata,Status_pdata,NC_Line_pdata,CH1,CH2,BendingX,BendingY,Torque,Torque_UCL_3,Torque_UCL_5,BendingX_UCL_3,BendingX_UCL_5,Flute_UCL_3,Flute_UCL_5
2025-10-16 13:50:06.293,100%,110%,-2.776000,-2.138000,3.770000,30.995000,-23.032000,0.000000,Start,1760622606.293000,,2025-10-16 13:50:06.293,100%,110%,-27.760000,-21.380000,37.700000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,0.000000,0.000000,0.000000,6.844426,9.520817,1656.323876,2803.550546,6.224676,10.356793
2025-10-16 13:50:06.451,100%,110%,-4.612000,-3.553000,3.770000,30.995000,-23.032000,0.000000,Start,1760622606.451000,,2025-10-16 13:50:06.451,100%,110%,-46.120000,-35.530000,37.700000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,0.000000,0.000000,6.050000,6.786598,9.420372,1753.259963,2942.933271,6.224676,10.356793
2025-10-16 13:50:06.531,100%,110%,-5.118000,-3.943000,3.770000,30.995000,-23.032000,0.000000,Start,1760622606.531000,,2025-10-16 13:50:06.531,100%,110%,-51.180000,-39.430000,37.700000,30.995000,-23.032000,0.000000,Start,,-3.025000,-3.025000,0.000000,0.000000,3.025000,6.731362,9.324492,1726.178473,2897.166142,6.224676,10.356793
2025-10-16 13:50:06.611,100%,110%,-5.129000,-3.951000,3.747000,30.995000,-23.032000,0.000000,Start,1760622606.611000,,2025-10-16 13:50:06.611,100%,110%,-51.290000,-39.510000,37.470000,30.995000,-23.032000,0.000000,Start,,-3.025000,3.025000,-1000.000000,-1000.000000,3.025000,6.857938,9.591171,1700.321917,2853.477705,6.224676,10.356793
2025-10-16 13:50:06.691,100%,110%,-5.129000,-3.951000,3.146000,30.995000,-23.032000,0.000000,Start,1760622606.691000,,2025-10-16 13:50:06.691,100%,110%,-51.290000,-39.510000,31.460000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,0.000000,0.000000,3.025000,6.807089,9.501339,1675.600417,2811.714981,6.224676,10.356793
2025-10-16 13:50:06.771,100%,110%,-5.129000,-3.951000,2.282000,30.995000,-23.032000,0.000000,Start,1760622606.771000,,2025-10-16 13:50:06.771,100%,110%,-51.290000,-39.510000,22.820000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,0.000000,0.000000,0.000000,6.758249,9.415137,1651.933082,2771.740321,6.224676,10.356793
2025-10-16 13:50:06.853,100%,110%,-5.129000,-3.951000,1.130000,30.995000,-23.032000,0.000000,Start,1760622606.853000,,2025-10-16 13:50:06.853,100%,110%,-51.290000,-39.510000,11.300000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,1000.000000,-1000.000000,3.025000,6.858741,9.632587,1629.246876,2733.429479,6.224676,10.356793
2025-10-16 13:50:06.943,100%,110%,-5.129000,-3.951000,0.790000,30.995000,-23.032000,0.000000,Start,1760622606.943000,,2025-10-16 13:50:06.943,100%,110%,-51.290000,-39.510000,7.900000,30.995000,-23.032000,0.000000,Start,,0.000000,-3.025000,0.000000,-1000.000000,3.025000,6.813820,9.551981,1708.484392,2847.473987,6.224676,10.356793
2025-10-16 13:50:07.051,100%,110%,-5.115000,-3.966000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.051000,,2025-10-16 13:50:07.051,100%,110%,-51.150000,-39.660000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,3.025000,-1000.000000,0.000000,3.025000,6.770468,9.474284,1778.602661,2947.243751,6.224676,10.356793
2025-10-16 13:50:07.139,100%,110%,-4.999000,-3.990000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.139000,,2025-10-16 13:50:07.139,100%,110%,-49.990000,-39.900000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,0.000000,0.000000,3.025000,6.728594,9.399323,1755.384573,2908.974288,6.224676,10.356793
2025-10-16 13:50:07.247,100%,110%,-4.836000,-3.990000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.247000,,2025-10-16 13:50:07.247,100%,110%,-48.360000,-39.900000,7.490000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,0.000000,1000.000000,0.000000,6.688117,9.326943,1817.409556,2996.495601,6.224676,10.356793
2025-10-16 13:50:07.351,100%,110%,-4.700000,-3.934000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.351000,,2025-10-16 13:50:07.351,100%,110%,-47.000000,-39.340000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,-1000.000000,0.000000,3.025000,6.773704,9.512919,1794.692260,2959.407734,6.224676,10.356793
2025-10-16 13:50:07.451,100%,110%,-4.532000,-3.927000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.451000,,2025-10-16 13:50:07.451,100%,110%,-45.320000,-39.270000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,-1000.000000,0.000000,3.025000,6.841638,9.667459,1772.798523,2923.656454,6.224676,10.356793
2025-10-16 13:50:07.547,100%,110%,-4.389000,-3.985000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.547000,,2025-10-16 13:50:07.547,100%,110%,-43.890000,-39.850000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,0.000000,0.000000,3.025000,6.806001,9.601668,1751.679933,2889.163525,6.224676,10.356793
2025-10-16 13:50:07.643,100%,110%,-4.292000,-3.990000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.643000,,2025-10-16 13:50:07.643,100%,110%,-42.920000,-39.900000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,1000.000000,-1000.000000,3.025000,6.771343,9.537794,1731.291961,2855.856973,6.224676,10.356793
2025-10-16 13:50:07.747,100%,110%,-4.116000,-3.990000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.747000,,2025-10-16 13:50:07.747,100%,110%,-41.160000,-39.900000,7.490000,30.995000,-23.032000,0.000000,Start,,3.025000,3.025000,0.000000,0.000000,3.025000,6.828697,9.671379,1752.534374,2906.397869,6.224676,10.356793
2025-10-16 13:50:07.843,100%,110%,-3.940000,-3.990000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.843000,,2025-10-16 13:50:07.843,100%,110%,-39.400000,-39.900000,7.490000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,1000.000000,0.000000,3.025000,6.796696,9.611515,1807.144797,2983.539200,6.224676,10.356793
2025-10-16 13:50:07.939,100%,110%,-3.807000,-3.980000,0.749000,30.995000,-23.032000,0.000000,Start,1760622607.939000,,2025-10-16 13:50:07.939,100%,110%,-38.070000,-39.800000,7.490000,30.995000,-23.032000,0.000000,Start,,0.000000,-3.025000,1000.000000,0.000000,3.025000,6.765477,9.553225,1787.482333,2951.359444,6.224676,10.356793
2025-10-16 13:50:08.043,100%,110%,-3.724000,-3.903000,0.749000,30.995000,-23.032000,0.000000,Start,1760622608.043000,,2025-10-16 13:50:08.043,100%,110%,-37.240000,-39.030000,7.490000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,-1000.000000,0.000000,3.025000,6.735009,9.496444,1768.442987,2920.194094,6.224676,10.356793
2025-10-16 13:50:08.147,100%,110%,-3.710000,-3.778000,0.749000,30.995000,-23.032000,0.000000,Start,1760622608.147000,,2025-10-16 13:50:08.147,100%,110%,-37.100000,-37.780000,7.490000,30.995000,-23.032000,0.000000,Start,,0.000000,0.000000,0.000000,0.000000,3.025000,6.705265,9.441108,1749.994629,2889.991049,6.224676,10.356793
2025-10-16 13:50:08.251,100%,110%,-3.710000,-3.544000,0.749000,30.995000,-23.032000,0.000000,Start,1760622608.251000,,2025-10-16 13:50:08.251,100%,110%,-37.100000,-35.440000,7.490000,30.995000,-23.032000,0.000000,Start,,-3.025000,0.000000,0.000000,0.000000,3.025000,6.757435,9.562065,1799.006076,2959.127773,6.224676,10.356793
2025-10-16 13:50:08.347,100%,110%,-3.710000,-3.368000,0.749000,30.995000,-23.032000,0.000000,Start,1760622608.347000,,2025-10-16 13:50:08.347,100%,110%,-37.100000,-33.680000,7.490000,30.995000,-23.032000,0.000000,Start,,3.025000,3.025000,0.000000,0.000000,3.025000,6.729787,9.509901,1843.889954,3021.867873,6.224676,10.356793
