"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 2","0.282","0.8","2025-10-16 14:29:11.978","100%","110%","-2.4","0.05","6.4","30.995","-23.032","0.0","Start","1760624951.978","","-0.011","-0.022","0.8","0.1","0.0275"
"Section 2","0.282","0.8","2025-10-16 14:29:12.074","100%","110%","-2.4","0.99","6.4","30.995","-23.032","0.0","Start","1760624952.074","","-0.0165","-0.0055","0.2","-0.3","0.0165"
"Section 2","0.282","0.8","2025-10-16 14:29:12.178","100%","110%","-2.4","2.05","6.4","30.995","-23.032","0.0","Start","1760624952.178","","-0.011","0.0605","-0.8","-1.1","0.066"
"Section 2","0.282","0.8","2025-10-16 14:29:13.282","100%","110%","2.4","1.84","6.4","30.995","-23.032","0.0","Start","1760624953.282","","-0.0165","-0.0935","2.4","1.9","0.0935"
"Section 2","0.282","0.8","2025-10-16 14:29:13.378","100%","110%","2.4","0.79","6.4","30.995","-23.032","0.0","Start","1760624953.378","","-0.0165","-0.0825","1.9","1.8","0.0825"
"Section 2","0.282","0.8","2025-10-16 14:29:13.474","100%","110%","2.4","-0.27","6.4","30.995","-23.032","0.0","Start","1760624953.474","","-0.0165","0.0165","0.1","-0.5","0.0275"
"Section 2","0.282","0.8","2025-10-16 14:29:13.578","100%","110%","2.43","-1.6800000000000002","6.4","30.995","-23.032","0.0","Start","1760624953.578","","-0.0055","0.0055","0.2","-0.0","0.0055"
"Section 2","0.282","0.8","2025-10-16 14:29:14.682","100%","110%","-2.4","-2.46","6.4","30.995","-23.032","0.0","Start","1760624954.682","","0.0","0.0055","-0.0","0.1","0.0055"
"Section 2","0.282","0.8","2025-10-16 14:29:14.779","100%","110%","-2.4","-1.4","6.4","30.995","-23.032","0.0","Start","1760624954.779","","-0.0","-0.0","0.0","0.1","0.0"
"Section 2","0.282","0.8","2025-10-16 14:29:14.874","100%","110%","-2.4","-0.35","6.4","30.995","-23.032","0.0","Start","1760624954.874","","0.0165","0.011","-0.3","0.4","0.0275"
"Section 2","0.282","0.8","2025-10-16 14:29:14.970","100%","110%","-2.22","0.0","6.4","30.995","-23.032","0.0","Start","1760624954.97","","-0.0055","0.0165","-0.3","-0.3","0.022"
"Section 2","0.282","0.8","2025-10-16 14:29:15.074","100%","110%","-1.19","0.0","6.4","30.995","-23.032","0.0","Start","1760624955.074","","0.0","-0.0055","0.1","0.0","0.0055"
