Time,Spindle_Override,Feed_Override,Offset_X,Offset_Y,Offset_Z,G54_X,G54_Y,G54_Z,Status,TimeInSeconds,NC_Line,CH1,CH2,BendingX,BendingY,Torque
2025-10-16 14:30:21.340,100%,0%,-2.2,2.2,0.03,30.995,-23.032,0.0,Start,1760625021.34,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:21.442,100%,0%,-2.2,2.2,0.03,30.995,-23.032,0.0,Start,1760625021.442,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:21.542,100%,0%,-2.2,2.2,8.43,30.995,-23.032,0.0,Start,1760625021.542,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:21.642,100%,0%,-2.2,2.2,18.98,30.995,-23.032,0.0,Start,1760625021.642,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:21.744,100%,10%,-2.2,2.2,23.63,30.995,-23.032,0.0,Start,1760625021.744,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:21.842,100%,10%,-2.2,2.2,62.03,30.995,-23.032,0.0,Start,1760625021.842,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:21.942,100%,10%,-2.2,2.2,107.63,30.995,-23.032,0.0,Start,1760625021.942,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.043,100%,10%,-2.2,2.2,115.03,30.995,-23.032,0.0,Start,1760625022.043,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.146,100%,10%,-2.2,2.2,115.03,30.995,-23.032,0.0,Start,1760625022.146,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.242,100%,10%,-2.2,2.2,115.03,30.995,-23.032,0.0,Start,1760625022.242,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.342,100%,10%,-2.2,2.2,115.03,30.995,-23.032,0.0,Start,1760625022.342,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.450,100%,10%,-2.2,2.2,98.03,30.995,-23.032,0.0,Start,1760625022.45,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.546,100%,10%,-2.2,2.2,59.63,30.995,-23.032,0.0,Start,1760625022.546,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.650,100%,10%,-2.2,2.2,24.33,30.995,-23.032,0.0,Start,1760625022.65,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.810,100%,10%,-2.2,2.2,16.830000000000002,30.995,-23.032,0.0,Start,1760625022.81,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:22.974,100%,10%,-2.2,2.2,0.03,30.995,-23.032,0.0,Start,1760625022.974,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.046,100%,0%,-2.2,2.2,0.03,30.995,-23.032,0.0,Start,1760625023.046,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.143,100%,0%,0.0,0.0,0.03,30.995,-23.032,0.0,Start,1760625023.143,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.248,100%,0%,0.0,0.0,153.82,30.995,-23.032,0.0,Start,1760625023.248,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.354,100%,0%,0.0,0.0,102.62,30.995,-23.032,0.0,Start,1760625023.354,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.450,100%,0%,0.0,0.0,64.22,30.995,-23.032,0.0,Start,1760625023.45,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.546,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625023.546,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.642,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625023.642,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.742,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625023.742,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.842,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625023.842,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:23.942,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625023.942,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:24.042,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625024.042,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:24.142,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625024.142,,-0.0,-0.0,-0.1,-0.0,0.0
2025-10-16 14:30:24.240,100%,0%,0.0,0.0,37.7,30.995,-23.032,0.0,Start,1760625024.24,,-0.0,-0.0,-0.1,-0.0,0.0
