"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 1","0.224","0.8","2025-10-16 14:42:22.952","100%","110%","30.48","-2.23","6.38","30.995","-23.032","0.0","Start","1760625742.952","","-0.0055","0.0","0.0","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:42:31.644","100%","110%","29.77","-1.62","6.35","30.995","-23.032","0.0","Start","1760625751.644","","0.0","-0.0055","0.1","0.0","0.011"
"Section 1","0.224","0.8","2025-10-16 14:42:40.452","100%","110%","30.270000000000003","-1.95","6.32","30.995","-23.032","0.0","Start","1760625760.452","","0.0055","0.0055","-0.0","0.1","0.011"
"Section 1","0.224","0.8","2025-10-16 14:42:49.160","100%","110%","29.79","-1.63","6.29","30.995","-23.032","0.0","Start","1760625769.16","","0.0","0.0055","0.1","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:42:49.244","100%","110%","30.590000000000003","-2.44","6.29","30.995","-23.032","0.0","Start","1760625769.244","","-0.0055","0.011","-0.1","-0.1","0.011"
"Section 1","0.224","0.8","2025-10-16 14:42:57.957","100%","110%","30.37","-2.06","6.26","30.995","-23.032","0.0","Start","1760625777.957","","0.0","0.0055","0.1","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:06.645","100%","110%","29.96","-1.7100000000000002","6.23","30.995","-23.032","0.0","Start","1760625786.645","","0.0","0.0055","-0.0","-0.1","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:15.446","100%","110%","30.42","-2.13","6.2","30.995","-23.032","0.0","Start","1760625795.446","","-0.0055","0.0055","-0.1","-0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:24.150","100%","110%","29.99","-1.73","6.17","30.995","-23.032","0.0","Start","1760625804.15","","-0.0","-0.0","0.1","-0.1","0.0"
"Section 1","0.224","0.8","2025-10-16 14:43:32.846","100%","110%","29.52","-1.54","6.14","30.995","-23.032","0.0","Start","1760625812.846","","0.0055","0.0055","-0.0","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:32.958","100%","110%","30.44","-2.16","6.14","30.995","-23.032","0.0","Start","1760625812.958","","0.0055","0.0","-0.1","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:41.650","100%","110%","30.01","-1.7399999999999998","6.109999999999999","30.995","-23.032","0.0","Start","1760625821.65","","0.0","0.0","0.0","-0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:50.450","100%","110%","30.45","-2.18","6.08","30.995","-23.032","0.0","Start","1760625830.45","","0.0055","0.0055","0.0","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:43:59.151","100%","110%","30.04","-1.7599999999999998","6.05","30.995","-23.032","0.0","Start","1760625839.151","","-0.0055","0.0055","-0.0","-0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:07.942","100%","110%","30.23","-1.91","6.02","30.995","-23.032","0.0","Start","1760625847.942","","-0.0","-0.0055","0.0","0.1","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:16.659","100%","110%","30.09","-1.79","5.99","30.995","-23.032","0.0","Start","1760625856.659","","-0.0055","-0.0","0.1","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:16.743","100%","110%","30.57","-2.4","5.99","30.995","-23.032","0.0","Start","1760625856.743","","0.0","0.0","-0.0","-0.1","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:25.447","100%","110%","30.270000000000003","-1.95","5.96","30.995","-23.032","0.0","Start","1760625865.447","","0.0055","0.0","0.1","0.0","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:34.155","100%","110%","29.84","-1.65","5.93","30.995","-23.032","0.0","Start","1760625874.155","","0.011","0.0055","-0.0","0.0","0.011"
"Section 1","0.224","0.8","2025-10-16 14:44:34.247","100%","110%","30.61","-2.48","5.93","30.995","-23.032","0.0","Start","1760625874.247","","-0.0","-0.0055","0.1","-0.1","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:42.947","100%","110%","30.37","-2.06","5.9","30.995","-23.032","0.0","Start","1760625882.947","","-0.0055","-0.0055","-0.0","-0.1","0.0055"
"Section 1","0.224","0.8","2025-10-16 14:44:51.647","100%","110%","29.97","-1.7100000000000002","5.869999999999999","30.995","-23.032","0.0","Start","1760625891.647","","-0.0","0.0","0.0","-0.1","0.0"
"Section 1","0.224","0.8","2025-10-16 14:45:00.344","100%","110%","29.55","-1.54","5.84","30.995","-23.032","0.0","Start","1760625900.344","","0.0","0.0","0.0","0.0","0.0"
"Section 1","0.224","0.8","2025-10-16 14:45:00.448","100%","110%","30.46","-2.19","5.84","30.995","-23.032","0.0","Start","1760625900.448","","0.0","-0.0","-0.0","-0.0","0.0"
