"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 2","0.42","0.8","2025-10-16 16:28:55.743","100%","110%","-2.4","0.0","6.4","30.995","-23.032","0.0","Start","1760632135.743","","0.0","0.0","0.8","0.1","0.0055"
"Section 2","0.42","0.8","2025-10-16 16:28:55.846","100%","110%","-2.4","1.12","6.4","30.995","-23.032","0.0","Start","1760632135.846","","0.011","0.011","-0.8","0.1","0.0165"
"Section 2","0.42","0.8","2025-10-16 16:28:55.946","100%","110%","-2.4","2.18","6.4","30.995","-23.032","0.0","Start","1760632135.946","","0.033","-0.022","-0.1","1.5","0.0385"
"Section 2","0.42","0.8","2025-10-16 16:28:57.046","100%","110%","2.4","1.7100000000000002","6.4","30.995","-23.032","0.0","Start","1760632137.046","","-0.011","0.0165","0.3","-0.7","0.0165"
"Section 2","0.42","0.8","2025-10-16 16:28:57.151","100%","110%","2.4","0.65","6.4","30.995","-23.032","0.0","Start","1760632137.151","","-0.0165","-0.0055","0.8","-0.3","0.022"
"Section 2","0.42","0.8","2025-10-16 16:28:57.247","100%","110%","2.4","-0.4","6.4","30.995","-23.032","0.0","Start","1760632137.247","","-0.0055","-0.011","0.1","-0.1","0.011"
"Section 2","0.42","0.8","2025-10-16 16:28:57.355","100%","110%","2.44","-1.81","6.4","30.995","-23.032","0.0","Start","1760632137.355","","-0.0055","0.0275","-0.5","-0.4","0.033"
"Section 2","0.42","0.8","2025-10-16 16:28:58.446","100%","110%","-2.4","-2.33","6.4","30.995","-23.032","0.0","Start","1760632138.446","","0.0165","0.0275","0.0","0.4","0.033"
"Section 2","0.42","0.8","2025-10-16 16:28:58.563","100%","110%","-2.4","-0.92","6.4","30.995","-23.032","0.0","Start","1760632138.563","","0.011","0.022","0.2","0.4","0.022"
"Section 2","0.42","0.8","2025-10-16 16:28:58.639","100%","110%","-2.4","-0.2299999999999999","6.4","30.995","-23.032","0.0","Start","1760632138.639","","0.0055","0.0165","-0.7","0.0","0.022"
"Section 2","0.42","0.8","2025-10-16 16:28:58.751","100%","110%","-2.11","0.0","6.4","30.995","-23.032","0.0","Start","1760632138.751","","0.0165","0.0055","0.3","0.5","0.0165"
"Section 2","0.42","0.8","2025-10-16 16:28:58.847","100%","110%","-1.05","0.0","6.4","30.995","-23.032","0.0","Start","1760632138.847","","-0.0165","-0.0275","-0.1","-0.7","0.033"
"Section 2","0.42","0.8","2025-10-16 16:28:58.944","100%","110%","-0.08","0.0","6.4","30.995","-23.032","0.0","Start","1760632138.944","","0.0055","0.0165","0.1","0.2","0.0165"
"Section 2","0.42","0.8","2025-10-16 16:28:59.047","100%","110%","0.0","0.8699999999999999","6.4","30.995","-23.032","0.0","Start","1760632139.047","","0.0","0.0055","0.3","0.1","0.011"
"Section 2","0.42","0.8","2025-10-16 16:28:59.147","100%","110%","0.0","1.93","6.4","30.995","-23.032","0.0","Start","1760632139.147","","0.011","0.0055","0.0","0.2","0.022"
"Section 2","0.42","0.8","2025-10-16 16:28:59.243","100%","110%","0.0","2.48","6.4","30.995","-23.032","0.0","Start","1760632139.243","","0.0165","0.0055","0.3","0.5","0.0165"
"Section 2","0.42","0.8","2025-10-16 16:28:59.351","100%","110%","0.0","1.59","6.4","30.995","-23.032","0.0","Start","1760632139.351","","0.022","0.044","0.2","1.0","0.0495"
"Section 2","0.42","0.8","2025-10-16 16:28:59.447","100%","110%","0.0","0.53","6.4","30.995","-23.032","0.0","Start","1760632139.447","","-0.0","-0.0055","0.1","-0.2","0.0385"
"Section 2","0.42","0.8","2025-10-16 16:28:59.555","100%","110%","0.01","-0.8799999999999999","6.4","30.995","-23.032","0.0","Start","1760632139.555","","-0.0055","-0.0055","0.1","-0.0","0.0055"
