"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 1","0.471","0.8","2025-10-16 16:46:14.283","100%","110%","30.0","-1.73","6.38","30.995","-23.032","0.0","Start","1760633174.283","","0.0055","0.0","-0.1","0.0","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:46:14.371","100%","110%","30.53","-2.31","6.38","30.995","-23.032","0.0","Start","1760633174.371","","0.0055","0.0055","0.0","-0.1","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:46:23.087","100%","110%","30.46","-2.19","6.35","30.995","-23.032","0.0","Start","1760633183.087","","-0.0","0.0055","0.1","-0.1","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:46:31.772","100%","110%","29.78","-1.62","6.32","30.995","-23.032","0.0","Start","1760633191.772","","0.0055","0.0","-0.2","0.0","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:46:31.875","100%","110%","30.58","-2.42","6.32","30.995","-23.032","0.0","Start","1760633191.875","","-0.0","-0.0","-0.0","0.0","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:46:40.579","100%","110%","30.3","-1.98","6.29","30.995","-23.032","0.0","Start","1760633200.579","","0.0055","0.0","0.0","0.0","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:46:49.284","100%","110%","29.88","-1.66","6.26","30.995","-23.032","0.0","Start","1760633209.284","","-0.0055","0.0055","-0.1","-0.2","0.011"
"Section 1","0.471","0.8","2025-10-16 16:46:58.076","100%","110%","30.39","-2.09","6.23","30.995","-23.032","0.0","Start","1760633218.076","","-0.0055","-0.0","0.1","0.0","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:47:06.781","100%","110%","29.96","-1.7100000000000002","6.2","30.995","-23.032","0.0","Start","1760633226.781","","-0.0055","0.0","0.0","-0.1","0.0055"
"Section 1","0.471","0.8","2025-10-16 16:47:15.573","100%","110%","30.42","-2.12","6.17","30.995","-23.032","0.0","Start","1760633235.573","","0.0","0.0055","-0.1","0.1","0.011"
