"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 1","0.292","0.8","2025-10-16 12:02:11.867","100%","110%","30.58","-2.43","6.38","30.995","-23.032","0.0","Start","1760616131.867","","-0.0055","0.0","-0.0","-0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:02:20.566","100%","110%","30.0","-1.7399999999999998","6.35","30.995","-23.032","0.0","Start","1760616140.566","","-0.0055","-0.0055","0.1","-0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:02:29.276","100%","110%","29.9","-1.6800000000000002","6.32","30.995","-23.032","0.0","Start","1760616149.276","","0.0","0.0055","-0.1","0.1","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:02:38.069","100%","110%","30.11","-1.81","6.29","30.995","-23.032","0.0","Start","1760616158.069","","-0.0","-0.0","-0.0","-0.1","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:02:46.764","100%","110%","29.68","-1.58","6.26","30.995","-23.032","0.0","Start","1760616166.764","","0.0","0.0055","-0.1","-0.1","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:02:46.860","100%","110%","30.53","-2.3200000000000003","6.26","30.995","-23.032","0.0","Start","1760616166.86","","0.0","0.0","0.1","0.0","0.0"
"Section 1","0.292","0.8","2025-10-16 12:02:55.564","100%","110%","30.22","-1.9","6.23","30.995","-23.032","0.0","Start","1760616175.564","","-0.0055","0.0","-0.1","-0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:04.260","100%","110%","29.76","-1.61","6.2","30.995","-23.032","0.0","Start","1760616184.26","","-0.0055","-0.0055","-0.1","-0.1","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:04.364","100%","110%","30.57","-2.4","6.2","30.995","-23.032","0.0","Start","1760616184.364","","0.0055","0.0","0.0","-0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:13.068","100%","110%","30.25","-1.93","6.17","30.995","-23.032","0.0","Start","1760616193.068","","-0.0055","-0.0","-0.1","-0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:21.765","100%","110%","29.79","-1.63","6.14","30.995","-23.032","0.0","Start","1760616201.765","","-0.0","0.0","0.0","0.0","0.0"
"Section 1","0.292","0.8","2025-10-16 12:03:21.864","100%","110%","30.58","-2.44","6.14","30.995","-23.032","0.0","Start","1760616201.864","","-0.0","0.0","-0.1","0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:30.573","100%","110%","30.3","-1.99","6.109999999999999","30.995","-23.032","0.0","Start","1760616210.573","","-0.0","0.0","-0.1","-0.1","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:39.267","100%","110%","29.9","-1.6800000000000002","6.08","30.995","-23.032","0.0","Start","1760616219.267","","-0.0055","0.0","0.1","0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:48.063","100%","110%","30.4","-2.1","6.05","30.995","-23.032","0.0","Start","1760616228.063","","0.0","0.0","0.0","-0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:03:56.766","100%","110%","30.0","-1.7399999999999998","6.02","30.995","-23.032","0.0","Start","1760616236.766","","-0.0","-0.0","0.1","0.0","0.0"
"Section 1","0.292","0.8","2025-10-16 12:04:05.568","100%","110%","30.47","-2.22","5.99","30.995","-23.032","0.0","Start","1760616245.568","","0.0","0.0","0.1","0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:04:14.266","100%","110%","29.83","-1.64","5.96","30.995","-23.032","0.0","Start","1760616254.266","","0.0","-0.0","-0.0","0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:04:22.971","100%","110%","29.72","-1.6","5.93","30.995","-23.032","0.0","Start","1760616262.971","","0.0","-0.0","0.0","0.1","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:04:23.063","100%","110%","30.34","-2.04","5.93","30.995","-23.032","0.0","Start","1760616263.063","","0.0055","0.0055","0.0","0.0","0.0055"
"Section 1","0.292","0.8","2025-10-16 12:04:31.767","100%","110%","29.96","-1.7100000000000002","5.9","30.995","-23.032","0.0","Start","1760616271.767","","0.0","0.0","-0.0","0.1","0.0"
