"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 1","0.324","0.8","2025-10-16 16:02:43.660","100%","120%","30.42","-2.12","6.38","30.995","-23.032","0.0","Start","1760630563.66","","-0.0","-0.0","-0.0","-0.1","0.011"
"Section 1","0.324","0.8","2025-10-16 16:02:51.964","100%","120%","30.51","-2.27","6.35","30.995","-23.032","0.0","Start","1760630571.964","","0.0","0.0055","-0.0","-0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:00.160","100%","120%","29.78","-1.62","6.32","30.995","-23.032","0.0","Start","1760630580.16","","0.0055","0.011","0.1","0.0","0.011"
"Section 1","0.324","0.8","2025-10-16 16:03:00.245","100%","120%","30.58","-2.43","6.32","30.995","-23.032","0.0","Start","1760630580.245","","0.0055","-0.0","-0.1","0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:08.444","100%","120%","29.97","-1.7199999999999998","6.29","30.995","-23.032","0.0","Start","1760630588.444","","-0.0","-0.0055","0.1","-0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:16.748","100%","120%","30.38","-2.08","6.26","30.995","-23.032","0.0","Start","1760630596.748","","-0.0055","0.0","-0.1","-0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:24.950","100%","120%","29.630000000000003","-1.56","6.23","30.995","-23.032","0.0","Start","1760630604.95","","0.0055","0.0","0.0","-0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:25.054","100%","120%","30.5","-2.27","6.23","30.995","-23.032","0.0","Start","1760630605.054","","0.0055","0.0055","-0.1","-0.0","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:33.254","100%","120%","29.82","-1.64","6.2","30.995","-23.032","0.0","Start","1760630613.254","","-0.0055","0.0055","0.0","-0.0","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:41.550","100%","120%","30.29","-1.98","6.17","30.995","-23.032","0.0","Start","1760630621.55","","-0.0","-0.0055","-0.0","0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:49.848","100%","120%","30.4","-2.1","6.14","30.995","-23.032","0.0","Start","1760630629.848","","0.0055","0.0055","-0.0","0.1","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:03:58.055","100%","120%","29.59","-1.56","6.109999999999999","30.995","-23.032","0.0","Start","1760630638.055","","-0.0","-0.0055","0.2","0.2","0.0055"
"Section 1","0.324","0.8","2025-10-16 16:04:06.354","100%","120%","30.1","-1.7999999999999998","6.08","30.995","-23.032","0.0","Start","1760630646.354","","0.011","0.0055","0.0","0.0","0.011"
"Section 1","0.324","0.8","2025-10-16 16:04:14.646","100%","120%","30.23","-1.91","6.05","30.995","-23.032","0.0","Start","1760630654.646","","-0.0","-0.0055","-0.1","-0.0","0.0055"
