MAC,Torque,BendingX,BendingY,CH1,CH2
6055f9e3d0c4,550,10000,10000,550,550
6055f9e3d0dc,550,10000,10000,550,550
84f703ce2064,550,10000,10000,550,550
6055f9e3d80c,550,10000,10000,550,550
84f703ce69b6,550,10000,10000,550,550
84f703ce1118,550,10000,10000,550,550
