"section","Ra_Measured","Ra_Tolerance","Time","Spindle_Override","Feed_Override","Offset_X","Offset_Y","Offset_Z","G54_X","G54_Y","G54_Z","Status","TimeInSeconds","NC_Line","CH1","CH2","BendingX","BendingY","Torque"
"Section 2","0.295","0.8","2025-10-16 15:08:05.476","100%","110%","-2.4","0.42","6.4","30.995","-23.032","0.0","Start","1760627285.476","","0.0055","0.011","0.2","0.3","0.022"
"Section 2","0.295","0.8","2025-10-16 15:08:05.582","100%","110%","-2.4","1.83","6.4","30.995","-23.032","0.0","Start","1760627285.582","","0.033","-0.0275","-0.0","1.9","0.055"
"Section 2","0.295","0.8","2025-10-16 15:08:06.678","100%","110%","2.4","2.06","6.4","30.995","-23.032","0.0","Start","1760627286.678","","-0.022","0.0165","0.3","-0.4","0.0275"
"Section 2","0.295","0.8","2025-10-16 15:08:06.780","100%","110%","2.4","1.01","6.4","30.995","-23.032","0.0","Start","1760627286.78","","0.033","0.0","-1.5","0.6","0.0385"
"Section 2","0.295","0.8","2025-10-16 15:08:06.868","100%","110%","2.4","-0.05","6.4","30.995","-23.032","0.0","Start","1760627286.868","","-0.011","-0.0055","0.2","-0.1","0.0165"
"Section 2","0.295","0.8","2025-10-16 15:08:06.975","100%","110%","2.41","-1.11","6.4","30.995","-23.032","0.0","Start","1760627286.975","","-0.011","-0.022","-0.1","-0.4","0.0275"
"Section 2","0.295","0.8","2025-10-16 15:08:07.068","100%","110%","2.45","-2.16","6.4","30.995","-23.032","0.0","Start","1760627287.068","","-0.0275","0.044","-0.3","-1.8","0.055"
"Section 2","0.295","0.8","2025-10-16 15:08:08.172","100%","110%","-2.4","-1.62","6.4","30.995","-23.032","0.0","Start","1760627288.172","","0.0055","-0.0055","0.1","0.2","0.011"
"Section 2","0.295","0.8","2025-10-16 15:08:08.267","100%","110%","-2.4","-0.5700000000000001","6.4","30.995","-23.032","0.0","Start","1760627288.267","","0.011","0.0055","0.2","0.4","0.0165"
"Section 2","0.295","0.8","2025-10-16 15:08:08.371","100%","110%","-2.35","0.0","6.4","30.995","-23.032","0.0","Start","1760627288.371","","0.0275","0.0385","0.3","0.7","0.0495"
"Section 2","0.295","0.8","2025-10-16 15:08:08.467","100%","110%","-1.41","0.0","6.4","30.995","-23.032","0.0","Start","1760627288.467","","0.0165","0.022","0.2","0.6","0.0385"
"Section 2","0.295","0.8","2025-10-16 15:08:08.572","100%","110%","-0.35","0.0","6.4","30.995","-23.032","0.0","Start","1760627288.572","","-0.0","-0.0055","0.2","0.1","0.0055"
"Section 2","0.295","0.8","2025-10-16 15:08:08.676","100%","110%","0.0","0.18","6.4","30.995","-23.032","0.0","Start","1760627288.676","","0.011","0.022","0.3","0.7","0.0275"
"Section 2","0.295","0.8","2025-10-16 15:08:08.771","100%","110%","0.0","1.22","6.4","30.995","-23.032","0.0","Start","1760627288.771","","-0.0165","-0.0385","-0.1","-0.7","0.0385"
"Section 2","0.295","0.8","2025-10-16 15:08:08.876","100%","110%","-0.0","2.48","6.4","30.995","-23.032","0.0","Start","1760627288.876","","-0.0055","-0.0055","0.1","-0.1","0.011"
"Section 2","0.295","0.8","2025-10-16 15:08:08.972","100%","110%","0.0","1.94","6.4","30.995","-23.032","0.0","Start","1760627288.972","","-0.0055","0.0055","-0.1","-0.2","0.011"
"Section 2","0.295","0.8","2025-10-16 15:08:09.067","100%","110%","0.0","0.8799999999999999","6.4","30.995","-23.032","0.0","Start","1760627289.067","","-0.0055","-0.011","0.0","-0.3","0.0165"
"Section 2","0.295","0.8","2025-10-16 15:08:09.172","100%","110%","0.0","-0.17","6.4","30.995","-23.032","0.0","Start","1760627289.172","","-0.0","-0.0","0.1","-0.1","0.0055"
"Section 2","0.295","0.8","2025-10-16 15:08:09.267","100%","110%","0.01","-1.23","6.4","30.995","-23.032","0.0","Start","1760627289.267","","0.0","-0.0","-0.1","-0.1","0.0"
"Section 2","0.295","0.8","2025-10-16 15:08:09.383","100%","110%","0.07","-2.28","6.4","30.995","-23.032","0.0","Start","1760627289.383","","0.0","0.0","0.1","0.1","0.0055"
"Section 2","0.295","0.8","2025-10-16 15:08:09.476","100%","110%","0.0","-2.48","6.4","30.995","-23.032","0.0","Start","1760627289.476","","0.0","0.0","0.1","0.1","0.0"
"Section 2","0.295","0.8","2025-10-16 15:08:09.572","100%","110%","0.0","-1.62","6.4","30.995","-23.032","0.0","Start","1760627289.572","","0.0055","-0.0","-0.0","0.0","0.0055"
"Section 2","0.295","0.8","2025-10-16 15:08:09.668","100%","110%","0.0","-0.56","6.4","30.995","-23.032","0.0","Start","1760627289.668","","0.0055","0.0055","0.0","0.0","0.011"
"Section 2","0.295","0.8","2025-10-16 15:08:09.776","100%","110%","-0.16","0.8200000000000001","6.4","30.995","-23.032","0.0","Start","1760627289.776","","0.0055","0.0","0.0","0.0","0.0055"
"Section 2","0.295","0.8","2025-10-16 15:08:09.876","100%","110%","-0.77","1.6700000000000002","6.4","30.995","-23.032","0.0","Start","1760627289.876","","-0.0","0.0","0.1","0.1","0.0"
"Section 2","0.295","0.8","2025-10-16 15:08:09.979","100%","110%","-1.7100000000000002","2.14","6.4","30.995","-23.032","0.0","Start","1760627289.979","","-0.0","0.0","0.1","-0.0","0.0"
"Section 2","0.295","0.8","2025-10-16 15:08:10.075","100%","110%","-2.2","2.2","6.49","30.995","-23.032","0.0","Start","1760627290.075","","-0.0165","-0.022","0.0","-0.2","0.0275"
